	title	contributor	date	lot	country	city	locationdef	source	basename	ur
3697	"Colorado. ""American-Nettie"" mine, Ouray"	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678058.jpg	http://www.loc.gov/item/2008678058/
3698	[The pier, Rhyl, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703538.jpg	http://www.loc.gov/item/2001703538/
3699	[And Cape Martin, Mentone, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699301.jpg	http://www.loc.gov/item/2001699301/
3700	[Brusttuch, Goslar, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713798.jpg	http://www.loc.gov/item/2002713798/
3701	Kongsberg [Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700744.jpg	http://www.loc.gov/item/2001700744/
3702	[Gourdon, Grasse, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698140.jpg	http://www.loc.gov/item/2001698140/
3703	[Penzance, St. Michael's Mount, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696604.jpg	http://www.loc.gov/item/2002696604/
3704	Pennsylvania College, Gettysburg	['Detroit Photographic Co.']	1903	LOT 13923	no country	no city	US	no source	2008679649.jpg	http://www.loc.gov/item/2008679649/
3705	[Murnau, general view, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696254.jpg	http://www.loc.gov/item/2002696254/
3706	[The Tuileries and Champs Elysees, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698510.jpg	http://www.loc.gov/item/2001698510/
3707	[Godesberg ruins, Bad Godesberg, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720502.jpg	http://www.loc.gov/item/2002720502/
3708	[St. Michael Monastery, Kiev, Russia, (i.e., Ukraine)]	no contributor	1890	LOT 13419	no country	no city	Russia	Views of architecture and other sites primarily in Poland, Russia, and the Ukraine	2001697431.jpg	http://www.loc.gov/item/2001697431/
3709	Bruges. Hôtel de Ville. Chapelle du St. Sang et la Justice de Paix	['Photoglob Co., publisher']	1890	LOT 14184	['belgium']	['bruges']	Belgium	no source	2017659120.jpg	http://www.loc.gov/item/2017659120/
3710	[Scheidegg, Mount Eiger and Mönch, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702407.jpg	http://www.loc.gov/item/2001702407/
3711	Pike's Peak from Briarhurst	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676338.jpg	http://www.loc.gov/item/2008676338/
3712	[Pörtschach on Wörthersee, Carinthia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710730.jpg	http://www.loc.gov/item/2002710730/
3713	Diving for coins, Nassau, Bahama Isl'ds	['Detroit Photographic Co.']	1901	LOT 13923	no country	no city	US	no source	2008679537.jpg	http://www.loc.gov/item/2008679537/
3714	[High Lighthouse, Lowestoft, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696983.jpg	http://www.loc.gov/item/2002696983/
3715	[Esplanade from pier, Helensburgh, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001706014.jpg	http://www.loc.gov/item/2001706014/
3716	[View of Schaffhausen, with the Munoth, Schaffhausen, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703216.jpg	http://www.loc.gov/item/2001703216/
3717	[Avenue Leopold, Ostend, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697962.jpg	http://www.loc.gov/item/2001697962/
3718	On the road between Voss & Stalheim  [Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699585.jpg	http://www.loc.gov/item/2001699585/
3719	[Bridlington, children's corner, Yorkshire, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708300.jpg	http://www.loc.gov/item/2002708300/
3720	[Cortile della farmacia de Franciscani, Ragusa, Sicily, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700969.jpg	http://www.loc.gov/item/2001700969/
3721	[Stubaithal (i.e., Stubaital), Vulpmes, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711121.jpg	http://www.loc.gov/item/2002711121/
3722	[Heber's Ghyll, Ilkley, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696829.jpg	http://www.loc.gov/item/2002696829/
3723	[Case labeled Photochrom-Bibliothek, 13. Band. Dänemark, Schweden, Norwegen, I]	['Photoglob Co., publisher']	1900	Photochrom Print Collection - Supplemental Archive [item] [P&P]	no country	no city	na	no source	2008678326.jpg	http://www.loc.gov/item/2008678326/
3724	[Leysin, view of the Rhone Valley in winter, Vaud, Canton of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703353.jpg	http://www.loc.gov/item/2001703353/
3725	[From the Campanile, I, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700986.jpg	http://www.loc.gov/item/2001700986/
3726	[Meran, from Gilfpromenade, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711064.jpg	http://www.loc.gov/item/2002711064/
3727	Homestake Mine, South Dakota	['Detroit Photographic Co.']	1900	LOT 13923	no country	no city	US	no source	2008678263.jpg	http://www.loc.gov/item/2008678263/
3728	[Disembarking from a ship, Algiers, Algeria]	no contributor	1899	LOT 13420	no country	no city	Algeria	Views of people and sites in Algeria	2001697827.jpg	http://www.loc.gov/item/2001697827/
3729	[The Needles, I., Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708245.jpg	http://www.loc.gov/item/2002708245/
3730	[Liebichshohe, Breslau, Silesia, Germany (i.e., Wrocław, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720693.jpg	http://www.loc.gov/item/2002720693/
3731	[Le Cantal, Chateau Anteroche, near Murat, Auvergne Mountains, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697574.jpg	http://www.loc.gov/item/2001697574/
3732	[The quay, Quimper, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698681.jpg	http://www.loc.gov/item/2001698681/
3733	[Lizard Point, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696595.jpg	http://www.loc.gov/item/2002696595/
3734	[Kyffhauser and Monument from Gitenkopf, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720739.jpg	http://www.loc.gov/item/2002720739/
3735	Kairo, Grottes Esbekieh	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['cairo']	Egypt	no source	2017657702.jpg	http://www.loc.gov/item/2017657702/
3736	[Sarajcvo (i.e., Sarajevo), from the north, Bosnia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708496.jpg	http://www.loc.gov/item/2002708496/
3737	Strasbourg. Vieille maison Strassburg. Altes Haus.	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002695090.jpg	http://www.loc.gov/item/2002695090/
3738	[Chioggia, fish market, Venice, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001701047.jpg	http://www.loc.gov/item/2001701047/
3739	[Stiftshaus, Hameln, Hanover, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713720.jpg	http://www.loc.gov/item/2002713720/
3740	[Sackingen, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696346.jpg	http://www.loc.gov/item/2002696346/
3741	[The Old Lieutenancy, Honfleur, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698402.jpg	http://www.loc.gov/item/2001698402/
3742	[General view, Dorchester, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696716.jpg	http://www.loc.gov/item/2002696716/
3743	[Wilhelmstrasse, Binz, Isle of Rugen, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720555.jpg	http://www.loc.gov/item/2002720555/
3744	[Starnberg, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696203.jpg	http://www.loc.gov/item/2002696203/
3745	[Arc de Triomphe, de l'Etoile, Paris, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698547.jpg	http://www.loc.gov/item/2001698547/
3746	[General view, Dunkirk, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698117.jpg	http://www.loc.gov/item/2001698117/
3747	[Veblungsnaes and Romsdalshorn, Romsdalen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700713.jpg	http://www.loc.gov/item/2001700713/
3748	[View from pier E, Deal, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696653.jpg	http://www.loc.gov/item/2002696653/
3749	[Oberalpsee, Lake Lucerne, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703095.jpg	http://www.loc.gov/item/2001703095/
3750	[Magdalen College, Founder's Tower and Cloisters, Oxford, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708029.jpg	http://www.loc.gov/item/2002708029/
3751	Pyramides, Menahouse Hotel	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['jīzah']	Egypt	no source	2017656955.jpg	http://www.loc.gov/item/2017656955/
3752	Singapore. Government House	['Photoglob Co., publisher']	1890	LOT 14192	['singapore']	no city	Singapore	no source	2017657647.jpg	http://www.loc.gov/item/2017657647/
3753	[Surf view, Ventimiglia, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699356.jpg	http://www.loc.gov/item/2001699356/
3754	[Stag's Leap, Carlsbad, Bohemia, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708479.jpg	http://www.loc.gov/item/2002708479/
3755	[Waltershausen, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720806.jpg	http://www.loc.gov/item/2002720806/
3756	[Romerberg with Romer, Frankfort on Main (i.e. Frankfurt am Main), Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713665.jpg	http://www.loc.gov/item/2002713665/
3757	[The Monument of Strasburg, Basle, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701102.jpg	http://www.loc.gov/item/2001701102/
3758	[Peel, Glen Helen Waterfall, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697042.jpg	http://www.loc.gov/item/2002697042/
3759	[Rothern Bridge, Torrington, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708183.jpg	http://www.loc.gov/item/2002708183/
3760	[The town hall, Leyden, (i.e., Leiden) Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699511.jpg	http://www.loc.gov/item/2001699511/
3761	[Scheidegg and Mount Wetterhorn, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701315.jpg	http://www.loc.gov/item/2001701315/
3762	[St. Maurice, the bridge and entrance to tunnel, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703328.jpg	http://www.loc.gov/item/2001703328/
3763	[Parliament, Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708394.jpg	http://www.loc.gov/item/2002708394/
3764	Detroit Museum of Art	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678218.jpg	http://www.loc.gov/item/2008678218/
3765	[Via Roma, Genoa, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700857.jpg	http://www.loc.gov/item/2001700857/
3766	[New Brighton Beach, Liverpool, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696917.jpg	http://www.loc.gov/item/2002696917/
3767	[Arolla, the hotel, Valais, Alps of, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703282.jpg	http://www.loc.gov/item/2001703282/
3768	[Wellingtonia Avenue, Camberley, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696444.jpg	http://www.loc.gov/item/2002696444/
3769	[Sonnenberg, Wiesbaden, Hesse-Nassau, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713921.jpg	http://www.loc.gov/item/2002713921/
3770	[The museum, Amsterdam, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001698750.jpg	http://www.loc.gov/item/2001698750/
3771	[Upper Engadine, Silvaplana, III., Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001702493.jpg	http://www.loc.gov/item/2001702493/
3772	[Serpent Lake, Gap of Dunloe, Killarney. County Kerry, Ireland]	no contributor	1890	LOT 13406	no country	no city	Ireland	Views of Ireland	2002717431.jpg	http://www.loc.gov/item/2002717431/
3773	[Kyffhauser and Monument of William I, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720742.jpg	http://www.loc.gov/item/2002720742/
3774	[General view, Sidon, Holy Land, (i.e. Lebanon)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725055.jpg	http://www.loc.gov/item/2002725055/
3775	[Jersey, Greve de Lecq, Channel Islands]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696501.jpg	http://www.loc.gov/item/2002696501/
3776	Upsilon Peak, Estes' Park, Colorado	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676343.jpg	http://www.loc.gov/item/2008676343/
3777	[Hercules Pillar, Bad Schweizermuhle, Saxony, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720607.jpg	http://www.loc.gov/item/2002720607/
3778	[The Medway, Chatham, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002711859.jpg	http://www.loc.gov/item/2002711859/
3779	[Old Town Hall, Munich, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696151.jpg	http://www.loc.gov/item/2002696151/
3780	[The dunes from the Oberland, Helgoland, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713864.jpg	http://www.loc.gov/item/2002713864/
3781	[The bridge, Bétharram, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698615.jpg	http://www.loc.gov/item/2001698615/
3782	Kairo, Shepheard's Hotel, concert militaire	['Photoglob Co., publisher']	1890	LOT 14192	['egypt']	['cairo']	Egypt	no source	2017657145.jpg	http://www.loc.gov/item/2017657145/
3783	[General view from Walkendorff's Tower, Bergen, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001699454.jpg	http://www.loc.gov/item/2001699454/
3784	[Schynige Platte, Grosse and hotel, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701250.jpg	http://www.loc.gov/item/2001701250/
3785	[Manneken Pis, Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697919.jpg	http://www.loc.gov/item/2001697919/
3786	[Macaroni seller, Naples, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700912.jpg	http://www.loc.gov/item/2001700912/
3787	[Derwentwater and Keswick, Friars' Crag, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696852.jpg	http://www.loc.gov/item/2002696852/
3788	[The Stray, Harrogate, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696782.jpg	http://www.loc.gov/item/2002696782/
3789	[Street scene, Partenkirchen, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696278.jpg	http://www.loc.gov/item/2002696278/
3790	Old Dutch church in Sleepy Hollow, Tarrytown, N.Y.	['Detroit Photographic Co.']	1904	LOT 13923	no country	no city	US	no source	2008679665.jpg	http://www.loc.gov/item/2008679665/
3791	[Garden of the Fountains, Nîmes, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698496.jpg	http://www.loc.gov/item/2001698496/
3792	[A Lapp family, Norway]	no contributor	1890	LOT 13432	no country	no city	Norway	Landscape and marine views of Norway	2001700768.jpg	http://www.loc.gov/item/2001700768/
3793	[Newquay, Towan Head, Cornwall, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696628.jpg	http://www.loc.gov/item/2002696628/
3794	[Vierseenplatz (i.e., Vierseeplatz), Boppard, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714071.jpg	http://www.loc.gov/item/2002714071/
3795	[Eddystone Lighthouse, Plymouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708052.jpg	http://www.loc.gov/item/2002708052/
3796	[Plas Newydd, Llangollen, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703514.jpg	http://www.loc.gov/item/2001703514/
3797	Colorado. Mt. Sopris from Spring Gulch Mine	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678074.jpg	http://www.loc.gov/item/2008678074/
3798	[Karntnerring (i.e., Kärtner-Ring), Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708402.jpg	http://www.loc.gov/item/2002708402/
3799	"[From ""Mont Chevalier,"" Cannes, Riviera]"	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699287.jpg	http://www.loc.gov/item/2001699287/
3800	[Tomlishorn, II., Pilatus, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703144.jpg	http://www.loc.gov/item/2001703144/
3801	[Interlaken, the Jungfrau, from the Rugen, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701179.jpg	http://www.loc.gov/item/2001701179/
3802	[The cross, Kilmarnock, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695004.jpg	http://www.loc.gov/item/2002695004/
3803	[Princess Street (i.e. Princes Street) and castle from Scott's Monument, Edinburgh, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705993.jpg	http://www.loc.gov/item/2001705993/
3804	[Pirano, general view, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710931.jpg	http://www.loc.gov/item/2002710931/
3805	[Peel, general view of castle, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697039.jpg	http://www.loc.gov/item/2002697039/
3806	[The ruins, Jezreel, Holy Land, (i.e. Israel)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2001699268.jpg	http://www.loc.gov/item/2001699268/
3807	[From the east, Cardiff Castle, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703451.jpg	http://www.loc.gov/item/2001703451/
3808	Lake Merritt, Oakland, California	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678131.jpg	http://www.loc.gov/item/2008678131/
3809	[Jungfrau and Lutschine, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701196.jpg	http://www.loc.gov/item/2001701196/
3810	[Railway station and Burg Are, Altenahr, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714134.jpg	http://www.loc.gov/item/2002714134/
3811	Calcutta. Harrison Road. I.	['Photoglob Co., publisher']	1890	LOT 14192	['india']	['kolkata']	India	no source	2017658176.jpg	http://www.loc.gov/item/2017658176/
3812	[The East Parade (i.e., promenade) and yachts, Southend-on-Sea, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708117.jpg	http://www.loc.gov/item/2002708117/
3813	[Upper Engadine, Bernina Falls near Morteratsch, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703001.jpg	http://www.loc.gov/item/2001703001/
3814	[Szaparybad, Herkulesfürdö, Hungary, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710874.jpg	http://www.loc.gov/item/2002710874/
3815	[Looking northeast at high water, Mont St. Michel, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698479.jpg	http://www.loc.gov/item/2001698479/
3816	[Pine tree in snow near Zurich, Switzerland]	no contributor	1890	LOT 14194	no country	no city	na	Photochrom print collection	2017656492.jpg	http://www.loc.gov/item/2017656492/
3817	[Como, Garibaldi Monument, Lake Como, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700787.jpg	http://www.loc.gov/item/2001700787/
3818	York. Kirkstall Abbey	no contributor	1890	LOT 14184	['great britain']	['kirkstall']	UK	no source	2017659767.jpg	http://www.loc.gov/item/2017659767/
3819	[St. Marie bridge, Chamonix Valley, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697626.jpg	http://www.loc.gov/item/2001697626/
3820	[Tengernsee, general view, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696297.jpg	http://www.loc.gov/item/2002696297/
3821	[General view, Erfurt, Thuringia, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720715.jpg	http://www.loc.gov/item/2002720715/
3822	[Harbor and pilot station, Colberg, Pomerania, Germany (i.e.,Kołobrzeg, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713976.jpg	http://www.loc.gov/item/2002713976/
3823	[Harbor and main gate, St. Malo, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698707.jpg	http://www.loc.gov/item/2001698707/
3824	[General view, Audierne, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001697558.jpg	http://www.loc.gov/item/2001697558/
3825	[From the pier, Brighton, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696413.jpg	http://www.loc.gov/item/2002696413/
3826	[Whippingham Church, Isle of Wight, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708269.jpg	http://www.loc.gov/item/2002708269/
3827	[General view, Arco, Lake Garda, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700800.jpg	http://www.loc.gov/item/2001700800/
3828	[Karersee Pass and Rosengartenhof, Karersee, Tyrol, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002711048.jpg	http://www.loc.gov/item/2002711048/
3829	[Kensington Gardens, the fountains, London, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696940.jpg	http://www.loc.gov/item/2002696940/
3830	Tailleurs de pierres à Jérusalem	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2003653058.jpg	http://www.loc.gov/item/2003653058/
3831	[Spiez and Lake of Thun, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701342.jpg	http://www.loc.gov/item/2001701342/
3832	[The beach, Scheveningen, Holland]	no contributor	1890	LOT 13423	no country	no city	Netherlands	Views of architecture and other sites in the Netherlands	2001699546.jpg	http://www.loc.gov/item/2001699546/
3833	[View of the Forum, Rome, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700945.jpg	http://www.loc.gov/item/2001700945/
3834	[South Parade, I., Herne Bay, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696805.jpg	http://www.loc.gov/item/2002696805/
3835	[Wildbad, Black Forest, Baden, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713560.jpg	http://www.loc.gov/item/2002713560/
3836	[Kander Valley and Doldenhorner, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701207.jpg	http://www.loc.gov/item/2001701207/
3837	[Couscous sellers and an Arab cafe, Tunis, Tunisia]	no contributor	1899	LOT 13427	no country	no city	Tunisia	Views of architecture and people in Tunisia	2001699403.jpg	http://www.loc.gov/item/2001699403/
3838	[Britannia Pier, Yarmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708286.jpg	http://www.loc.gov/item/2002708286/
3839	[General view, St. Andreasburg, Hartz, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713833.jpg	http://www.loc.gov/item/2002713833/
3840	[Market place, Augsburg, Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696106.jpg	http://www.loc.gov/item/2002696106/
3841	[General view, Lourdes, Pyrenees, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698642.jpg	http://www.loc.gov/item/2001698642/
3842	[Kellersee, Schleswig-Holstein, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002720650.jpg	http://www.loc.gov/item/2002720650/
3843	Pike's Peak from the Garden of the Gods	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008676314.jpg	http://www.loc.gov/item/2008676314/
3844	Auckland, Queen Street	['Photoglob Co., publisher']	1890	LOT 14192	['new zealand']	no city	New Zealand	no source	2017657811.jpg	http://www.loc.gov/item/2017657811/
3845	[The front pier from pier end, Clacton-on-Sea, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696556.jpg	http://www.loc.gov/item/2002696556/
3846	[The Pool of Hezekiah, Jerusalem, Holy Land]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002725002.jpg	http://www.loc.gov/item/2002725002/
3847	[From new lighthouse, Swinemunde, Pomerania, Germany (i.e., Świnoujście, Poland)]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713999.jpg	http://www.loc.gov/item/2002713999/
3848	[Coffee House, Bremen, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002713649.jpg	http://www.loc.gov/item/2002713649/
