	title	contributor	date	lot	country	city	locationdef	source	basename	ur
6121	Bruxelles, Place Royale, [Brussels, Belgium]	no contributor	1890	LOT 13422	no country	no city	Belgium	Views of architecture and other sites in Belgium	2001697909.jpg	http://www.loc.gov/item/2001697909/
6122	[Borrowdale Valley, from Bowder Stone, Lake District, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696842.jpg	http://www.loc.gov/item/2002696842/
6123	[The wharf, Naples, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700902.jpg	http://www.loc.gov/item/2001700902/
6124	[Rosenlaui, with Weissbach and Englehorner, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701240.jpg	http://www.loc.gov/item/2001701240/
6125	[Bosphorus (i.e., Bosporus), view from Kuleli, Constantinople, Turkey]	no contributor	1890	LOT 13428	no country	no city	Turkey	Views of people and sites in Turkey	2001699444.jpg	http://www.loc.gov/item/2001699444/
6126	[Town and harbor, Nantes, France]	no contributor	1890	LOT 13418	no country	no city	France	Views of architecture, monuments, and other sites in France	2001698486.jpg	http://www.loc.gov/item/2001698486/
6127	[Interior of a house, Damascus, Holy Land, (i.e. Syria)]	no contributor	1890	LOT 13424	no country	no city	Holy Land	Views of the Holy Land	2002724984.jpg	http://www.loc.gov/item/2002724984/
6128	St. Petersbourg. Le pont & le palais Anitschkow S.-Peterburgʺ. Anichkovskīĭ mostʺ i ploshchadʹ.	no contributor	1890	LOT 14184	no country	no city	Cuba	no source	2014646337.jpg	http://www.loc.gov/item/2014646337/
6129	[Mouth of the Dart with castle, Dartmouth, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696638.jpg	http://www.loc.gov/item/2002696638/
6130	[Bellagio, general view, Lake Como, Italy]	no contributor	1890	LOT 13434	no country	no city	Italy	Views of architecture and other sites in Italy	2001700778.jpg	http://www.loc.gov/item/2001700778/
6131	[Lovers' Seat, Hastings, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002696792.jpg	http://www.loc.gov/item/2002696792/
6132	Army and Navy monument, Indianapolis, Ind.	['Detroit Photographic Co.']	1904	LOT 13923	no country	no city	US	no source	2008679675.jpg	http://www.loc.gov/item/2008679675/
6133	[The Kreusigungsgruppe, Oberammergau, Upper Bavaria, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002696268.jpg	http://www.loc.gov/item/2002696268/
6134	[The harbor and old town, Mentone, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699297.jpg	http://www.loc.gov/item/2001699297/
6135	[The public garden and casino, Vienna, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002708412.jpg	http://www.loc.gov/item/2002708412/
6136	[Burns Mausoleum, Dumfries, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2001705983.jpg	http://www.loc.gov/item/2001705983/
6137	Falls of Leny, [Leny, Scotland]	no contributor	1890	LOT 13407	no country	no city	Scotland	Views of landscape and architecture in Scotland	2002695014.jpg	http://www.loc.gov/item/2002695014/
6138	[Volosca, near Abbazia, Istria, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710921.jpg	http://www.loc.gov/item/2002710921/
6139	[Douglas Pier, Isle of Man]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002697029.jpg	http://www.loc.gov/item/2002697029/
6140	[Stansstad, Pilatus, Switzerland ]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703154.jpg	http://www.loc.gov/item/2001703154/
6141	[Grindelwald, Hotel Eiger, Bernese Oberland, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001701169.jpg	http://www.loc.gov/item/2001701169/
6142	[Cathedral, west front, Peterborough, England]	no contributor	1890	LOT 13415	no country	no city	UK	Views of the British Isles	2002708042.jpg	http://www.loc.gov/item/2002708042/
6143	[Bingen and the bridge, the Rhine, Germany]	no contributor	1890	LOT 13411	no country	no city	Russia	Views of Germany	2002714061.jpg	http://www.loc.gov/item/2002714061/
6144	Colorado. Burros at silver mine	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678064.jpg	http://www.loc.gov/item/2008678064/
6145	[On the beach, Llandudno, Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703504.jpg	http://www.loc.gov/item/2001703504/
6146	[Ring Street, Budapest, Hungary, Austro-Hungary]	no contributor	1890	LOT 13417	no country	no city	Austro-Hungarian Empire	Views of the Austro-Hungarian Empire	2002710864.jpg	http://www.loc.gov/item/2002710864/
6147	[Upper Engadine, Scarl, Grisons, Switzerland]	no contributor	1890	LOT 13410	no country	no city	Switzerland	Views of Switzerland	2001703011.jpg	http://www.loc.gov/item/2001703011/
6148	Old house at Far Hills, N.J.	['Detroit Photographic Co.']	1898	LOT 13923	no country	no city	US	no source	2008678121.jpg	http://www.loc.gov/item/2008678121/
6149	[The railway station, Bordina, Riviera]	no contributor	1890	LOT 13425	no country	no city	France	Views of the French and Italian Riviera	2001699278.jpg	http://www.loc.gov/item/2001699278/
6150	[Pont-y-Pair III, Bettws-y-Coed (i.e. Betws), Wales]	no contributor	1890	LOT 13408	no country	no city	Wales	Views of landscape and architecture in Wales	2001703441.jpg	http://www.loc.gov/item/2001703441/
